"words"
"i"
"me"
"my"
"myself"
"we"
"our"
"ours"
"ourselves"
"you"
"your"
"yours"
"yourself"
"yourselves"
"he"
"him"
"his"
"himself"
"she"
"her"
"hers"
"herself"
"it"
"its"
"itself"
"they"
"them"
"their"
"theirs"
"themselves"
"what"
"which"
"who"
"whom"
"this"
"that"
"these"
"those"
"am"
"is"
"are"
"was"
"were"
"be"
"been"
"being"
"have"
"has"
"had"
"having"
"do"
"does"
"did"
"doing"
"would"
"should"
"could"
"ought"
"i'm"
"you're"
"he's"
"she's"
"it's"
"we're"
"they're"
"i've"
"you've"
"we've"
"they've"
"i'd"
"you'd"
"he'd"
"she'd"
"we'd"
"they'd"
"i'll"
"you'll"
"he'll"
"she'll"
"we'll"
"they'll"
"isn't"
"aren't"
"wasn't"
"weren't"
"hasn't"
"haven't"
"hadn't"
"doesn't"
"don't"
"didn't"
"won't"
"wouldn't"
"shan't"
"shouldn't"
"can't"
"cannot"
"couldn't"
"mustn't"
"let's"
"that's"
"who's"
"what's"
"here's"
"there's"
"when's"
"where's"
"why's"
"how's"
"a"
"an"
"the"
"and"
"but"
"if"
"or"
"because"
"as"
"until"
"while"
"of"
"at"
"by"
"for"
"with"
"about"
"against"
"between"
"into"
"through"
"during"
"before"
"after"
"above"
"below"
"to"
"from"
"up"
"down"
"in"
"out"
"on"
"off"
"over"
"under"
"again"
"further"
"then"
"once"
"here"
"there"
"when"
"where"
"why"
"how"
"all"
"any"
"both"
"each"
"few"
"more"
"most"
"other"
"some"
"such"
"no"
"nor"
"not"
"only"
"own"
"same"
"so"
"than"
"too"
"very"
"across"
"afterwards"
"almost"
"alone"
"along"
"already"
"also"
"although"
"always"
"among"
"amongst"
"amoungst"
"amount"
"another"
"anyhow"
"anyone"
"anything"
"anyway"
"anywhere"
"around"
"back"
"became"
"become"
"becomes"
"becoming"
"beforehand"
"behind"
"beside"
"besides"
"beyond"
"bill"
"bottom"
"call"
"can"
"cant"
"co"
"computer"
"con"
"couldnt"
"cry"
"de"
"describe"
"detail"
"done"
"due"
"eg"
"eight"
"either"
"eleven"
"else"
"elsewhere"
"empty"
"enough"
"etc"
"even"
"ever"
"every"
"everyone"
"everything"
"everywhere"
"except"
"fifteen"
"fify"
"fill"
"find"
"fire"
"first"
"five"
"former"
"formerly"
"forty"
"found"
"four"
"front"
"full"
"get"
"give"
"go"
"hasnt"
"hence"
"hereafter"
"hereby"
"herein"
"hereupon"
"herse"""
"himse"""
"however"
"hundred"
"ie"
"inc"
"indeed"
"interest"
"itse"""
"keep"
"last"
"latter"
"latterly"
"least"
"less"
"ltd"
"made"
"many"
"may"
"meanwhile"
"might"
"mill"
"mine"
"moreover"
"mostly"
"move"
"much"
"must"
"myse"""
"name"
"namely"
"neither"
"never"
"nevertheless"
"next"
"nine"
"nobody"
"none"
"noone"
"nothing"
"now"
"nowhere"
"often"
"one"
"onto"
"others"
"otherwise"
"part"
"per"
"perhaps"
"please"
"put"
"rather"
"re"
"see"
"seem"
"seemed"
"seeming"
"seems"
"serious"
"several"
"show"
"side"
"since"
"sincere"
"six"
"sixty"
"somehow"
"someone"
"something"
"sometime"
"sometimes"
"somewhere"
"still"
"system"
"take"
"ten"
"thence"
"thereafter"
"thereby"
"therefore"
"therein"
"thereupon"
"thick"
"thin"
"third"
"though"
"three"
"throughout"
"thru"
"thus"
"together"
"top"
"toward"
"towards"
"twelve"
"twenty"
"two"
"un"
"upon"
"us"
"via"
"well"
"whatever"
"whence"
"whenever"
"whereafter"
"whereas"
"whereby"
"wherein"
"whereupon"
"wherever"
"whether"
"whither"
"whoever"
"whole"
"whose"
"will"
"within"
"without"
"yet"
